timestamp,temperature
2020-09-15 00:00:00,16.1
2020-09-15 00:05:00,16
2020-09-15 00:10:00,16
2020-09-15 00:15:00,15.9
2020-09-15 00:20:00,15.8
2020-09-15 00:25:00,15.8
2020-09-15 00:30:00,15.7
2020-09-15 00:35:00,15.7
2020-09-15 00:40:00,15.6
2020-09-15 00:45:00,15.6
2020-09-15 00:50:00,15.5
2020-09-15 00:55:00,15.5
2020-09-15 01:00:00,15.5
2020-09-15 01:05:00,15.5
2020-09-15 01:10:00,15.4
2020-09-15 01:15:00,15.4
2020-09-15 01:20:00,15.4
2020-09-15 01:25:00,15.4
2020-09-15 01:30:00,15.4
2020-09-15 01:35:00,15.4
2020-09-15 01:40:00,15.3
2020-09-15 01:45:00,15.3
2020-09-15 01:50:00,15.3
2020-09-15 01:55:00,15.2
2020-09-15 02:00:00,15.1
2020-09-15 02:05:00,15.1
2020-09-15 02:10:00,15.1
2020-09-15 02:15:00,15.1
2020-09-15 02:20:00,15
2020-09-15 02:25:00,15
2020-09-15 02:30:00,15
2020-09-15 02:35:00,15
2020-09-15 02:40:00,15
2020-09-15 02:45:00,14.9
2020-09-15 02:50:00,14.9
2020-09-15 02:55:00,14.9
2020-09-15 03:00:00,14.9
2020-09-15 03:05:00,14.8
2020-09-15 03:10:00,14.8
2020-09-15 03:15:00,14.7
2020-09-15 03:20:00,14.7
2020-09-15 03:25:00,14.7
2020-09-15 03:30:00,14.7
2020-09-15 03:35:00,14.7
2020-09-15 03:40:00,14.6
2020-09-15 03:45:00,14.6
2020-09-15 03:50:00,14.5
2020-09-15 03:55:00,14.5
2020-09-15 04:00:00,14.4
2020-09-15 04:05:00,14.4
2020-09-15 04:10:00,14.3
2020-09-15 04:15:00,14.3
2020-09-15 04:20:00,14.3
2020-09-15 04:25:00,14.3
2020-09-15 04:30:00,14.2
2020-09-15 04:35:00,14.2
2020-09-15 04:40:00,14.2
2020-09-15 04:45:00,14.1
2020-09-15 04:50:00,14.1
2020-09-15 04:55:00,14.1
2020-09-15 05:00:00,14
2020-09-15 05:05:00,14
2020-09-15 05:10:00,14
2020-09-15 05:15:00,14
2020-09-15 05:20:00,13.9
2020-09-15 05:25:00,13.9
2020-09-15 05:30:00,13.9
2020-09-15 05:35:00,13.9
2020-09-15 05:40:00,13.8
2020-09-15 05:45:00,13.8
2020-09-15 05:50:00,13.8
2020-09-15 05:55:00,13.8
2020-09-15 06:00:00,13.8
2020-09-15 06:05:00,13.8
2020-09-15 06:10:00,13.9
2020-09-15 06:15:00,13.9
2020-09-15 06:20:00,14
2020-09-15 06:25:00,14.1
2020-09-15 06:30:00,14.1
2020-09-15 06:35:00,14.2
2020-09-15 06:40:00,14.4
2020-09-15 06:45:00,14.5
2020-09-15 06:50:00,14.6
2020-09-15 06:55:00,14.7
2020-09-15 07:00:00,14.8
2020-09-15 07:05:00,15
2020-09-15 07:10:00,15.1
2020-09-15 07:15:00,15.2
2020-09-15 07:20:00,15.3
2020-09-15 07:25:00,15.5
2020-09-15 07:30:00,15.6
2020-09-15 07:35:00,15.8
2020-09-15 07:40:00,16
2020-09-15 07:45:00,16.2
2020-09-15 07:50:00,16.4
2020-09-15 07:55:00,16.5
2020-09-15 08:00:00,16.7
2020-09-15 08:05:00,16.9
2020-09-15 08:10:00,17.2
2020-09-15 08:15:00,17.6
2020-09-15 08:20:00,18
2020-09-15 08:25:00,18.4
2020-09-15 08:30:00,18.8
2020-09-15 08:35:00,19.1
2020-09-15 08:40:00,19.5
2020-09-15 08:45:00,19.9
2020-09-15 08:50:00,20.3
2020-09-15 08:55:00,20.7
2020-09-15 09:00:00,21.1
2020-09-15 09:05:00,21.5
2020-09-15 09:10:00,22
2020-09-15 09:15:00,22.5
2020-09-15 09:20:00,22.9
2020-09-15 09:25:00,23.3
2020-09-15 09:30:00,23.7
2020-09-15 09:35:00,24.1
2020-09-15 09:40:00,24.5
2020-09-15 09:45:00,24.9
2020-09-15 09:50:00,25.3
2020-09-15 09:55:00,25.8
2020-09-15 10:00:00,26.4
2020-09-15 10:05:00,27
2020-09-15 10:10:00,27.5
2020-09-15 10:15:00,28.1
2020-09-15 10:20:00,28.6
2020-09-15 10:25:00,29.1
2020-09-15 10:30:00,29.5
2020-09-15 10:35:00,29.6
2020-09-15 10:40:00,29.9
2020-09-15 10:45:00,30.2
2020-09-15 10:50:00,30.6
2020-09-15 10:55:00,30.8
2020-09-15 11:00:00,31
2020-09-15 11:05:00,31.2
2020-09-15 11:10:00,31.5
2020-09-15 11:15:00,31.7
2020-09-15 11:20:00,31.8
2020-09-15 11:25:00,31.8
2020-09-15 11:30:00,31.7
2020-09-15 11:35:00,31.7
2020-09-15 11:40:00,32.1
2020-09-15 11:45:00,32.3
2020-09-15 11:50:00,32.4
2020-09-15 11:55:00,32.5
2020-09-15 12:00:00,32.6
2020-09-15 12:05:00,32.6
2020-09-15 12:10:00,32.9
2020-09-15 12:15:00,33.1
2020-09-15 12:20:00,33.3
2020-09-15 12:25:00,33.4
2020-09-15 12:30:00,33.4
2020-09-15 12:35:00,33.5
2020-09-15 12:40:00,33.6
2020-09-15 12:45:00,33.7
2020-09-15 12:50:00,33.8
2020-09-15 12:55:00,33.8
2020-09-15 13:00:00,33.9
2020-09-15 13:05:00,33.8
2020-09-15 13:10:00,33.7
2020-09-15 13:15:00,33.5
2020-09-15 13:20:00,33.5
2020-09-15 13:25:00,33.4
2020-09-15 13:30:00,33.3
2020-09-15 13:35:00,33.3
2020-09-15 13:40:00,33.4
2020-09-15 13:45:00,33.5
2020-09-15 13:50:00,33.7
2020-09-15 13:55:00,33.7
2020-09-15 14:00:00,33.7
2020-09-15 14:05:00,33.7
2020-09-15 14:10:00,33.7
2020-09-15 14:15:00,33.9
2020-09-15 14:20:00,33.9
2020-09-15 14:25:00,33.9
2020-09-15 14:30:00,34
2020-09-15 14:35:00,34
2020-09-15 14:40:00,33.9
2020-09-15 14:45:00,34
2020-09-15 14:50:00,34
2020-09-15 14:55:00,34.1
2020-09-15 15:00:00,34.1
2020-09-15 15:05:00,34
2020-09-15 15:10:00,33.8
2020-09-15 15:15:00,33.8
2020-09-15 15:20:00,33.8
2020-09-15 15:25:00,33.8
2020-09-15 15:30:00,33.7
2020-09-15 15:35:00,33.7
2020-09-15 15:40:00,33.7
2020-09-15 15:45:00,33.6
2020-09-15 15:50:00,33.6
2020-09-15 15:55:00,33.6
2020-09-15 16:00:00,33.5
2020-09-15 16:05:00,33.3
2020-09-15 16:10:00,33.2
2020-09-15 16:15:00,33.1
2020-09-15 16:20:00,33
2020-09-15 16:25:00,32.8
2020-09-15 16:30:00,32.7
2020-09-15 16:35:00,32.6
2020-09-15 16:40:00,32.5
2020-09-15 16:45:00,32.4
2020-09-15 16:50:00,32.3
2020-09-15 16:55:00,32.2
2020-09-15 17:00:00,32
2020-09-15 17:05:00,31.8
2020-09-15 17:10:00,31.5
2020-09-15 17:15:00,31.1
2020-09-15 17:20:00,30.8
2020-09-15 17:25:00,30.5
2020-09-15 17:30:00,30.1
2020-09-15 17:35:00,29.7
2020-09-15 17:40:00,29.3
2020-09-15 17:45:00,28.9
2020-09-15 17:50:00,28.5
2020-09-15 17:55:00,28.1
2020-09-15 18:00:00,27.7
2020-09-15 18:05:00,27.3
2020-09-15 18:10:00,27
2020-09-15 18:15:00,26.6
2020-09-15 18:20:00,26.2
2020-09-15 18:25:00,25.9
2020-09-15 18:30:00,25.5
2020-09-15 18:35:00,25.2
2020-09-15 18:40:00,24.8
2020-09-15 18:45:00,24.5
2020-09-15 18:50:00,24.3
2020-09-15 18:55:00,24.3
2020-09-15 19:00:00,24.2
2020-09-15 19:05:00,24.1
2020-09-15 19:10:00,24
2020-09-15 19:15:00,24.1
2020-09-15 19:20:00,24.2
2020-09-15 19:25:00,24.2
2020-09-15 19:30:00,24.1
2020-09-15 19:35:00,24
2020-09-15 19:40:00,23.8
2020-09-15 19:45:00,23.7
2020-09-15 19:50:00,23.5
2020-09-15 19:55:00,23.4
2020-09-15 20:00:00,23.2
2020-09-15 20:05:00,23.1
2020-09-15 20:10:00,22.9
2020-09-15 20:15:00,22.7
2020-09-15 20:20:00,22.5
2020-09-15 20:25:00,22.3
2020-09-15 20:30:00,22.2
2020-09-15 20:35:00,22
2020-09-15 20:40:00,21.9
2020-09-15 20:45:00,21.7
2020-09-15 20:50:00,21.6
2020-09-15 20:55:00,21.5
2020-09-15 21:00:00,21.6
2020-09-15 21:05:00,21.6
2020-09-15 21:10:00,21.5
2020-09-15 21:15:00,21.4
2020-09-15 21:20:00,21.3
2020-09-15 21:25:00,21.2
2020-09-15 21:30:00,21
2020-09-15 21:35:00,20.8
2020-09-15 21:40:00,20.7
2020-09-15 21:45:00,20.5
2020-09-15 21:50:00,20.4
2020-09-15 21:55:00,20.2
2020-09-15 22:00:00,20.1
2020-09-15 22:05:00,20
2020-09-15 22:10:00,20
2020-09-15 22:15:00,20
2020-09-15 22:20:00,20
2020-09-15 22:25:00,20.1
2020-09-15 22:30:00,20.1
2020-09-15 22:35:00,20.1
2020-09-15 22:40:00,20
2020-09-15 22:45:00,19.9
2020-09-15 22:50:00,19.8
2020-09-15 22:55:00,19.7
2020-09-15 23:00:00,19.6
2020-09-15 23:05:00,19.6
2020-09-15 23:10:00,19.6
2020-09-15 23:15:00,19.6
2020-09-15 23:20:00,19.5
2020-09-15 23:25:00,19.4
2020-09-15 23:30:00,19.4
2020-09-15 23:35:00,19.3
2020-09-15 23:40:00,19.2
2020-09-15 23:45:00,19.1
2020-09-15 23:50:00,18.9
2020-09-15 23:55:00,18.8
